GAME_NUM,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHX,POR,SAC,SAS,TOR,UTA,WAS
20,23.952380952380953,25.666666666666668,26.333333333333332,24.666666666666668,23.666666666666668,23.761904761904763,28.952380952380953,22.571428571428573,23.523809523809526,27.333333333333332,30.523809523809526,25.714285714285715,22.61904761904762,23.857142857142858,22.047619047619047,23.952380952380953,23.857142857142858,24.238095238095237,22.571428571428573,24.904761904761905,24.666666666666668,25.61904761904762,21.238095238095237,25.857142857142858,27.285714285714285,25.19047619047619,25.285714285714285,26.0,23.333333333333332,24.38095238095238
21,25.428571428571427,24.19047619047619,27.523809523809526,23.0,24.38095238095238,23.61904761904762,25.952380952380953,23.333333333333332,22.38095238095238,27.666666666666668,31.047619047619047,25.904761904761905,23.952380952380953,24.714285714285715,21.523809523809526,24.761904761904763,23.714285714285715,23.38095238095238,21.80952380952381,24.19047619047619,24.61904761904762,25.238095238095237,22.38095238095238,25.904761904761905,23.666666666666668,23.666666666666668,25.904761904761905,27.285714285714285,22.571428571428573,24.19047619047619
22,24.714285714285715,25.19047619047619,27.142857142857142,23.047619047619047,22.333333333333332,25.285714285714285,28.952380952380953,24.523809523809526,23.80952380952381,31.523809523809526,29.714285714285715,24.238095238095237,24.0,23.904761904761905,22.047619047619047,26.0,21.714285714285715,23.38095238095238,26.095238095238095,23.904761904761905,24.428571428571427,24.523809523809526,22.523809523809526,27.80952380952381,24.666666666666668,23.238095238095237,24.19047619047619,24.761904761904763,23.761904761904763,24.666666666666668
23,25.142857142857142,25.142857142857142,27.904761904761905,22.523809523809526,21.428571428571427,24.476190476190474,30.714285714285715,25.095238095238095,22.666666666666668,29.476190476190474,28.666666666666668,25.142857142857142,21.666666666666668,24.761904761904763,21.571428571428573,24.61904761904762,22.523809523809526,21.80952380952381,22.428571428571427,25.333333333333332,22.714285714285715,25.476190476190474,21.38095238095238,27.476190476190474,27.0,25.142857142857142,24.666666666666668,25.523809523809526,24.80952380952381,23.761904761904763
24,26.095238095238095,25.857142857142858,27.0,24.857142857142858,23.0,26.285714285714285,25.523809523809526,23.857142857142858,23.0,28.714285714285715,28.666666666666668,23.80952380952381,24.476190476190474,26.095238095238095,21.19047619047619,25.333333333333332,23.952380952380953,22.047619047619047,24.095238095238095,25.19047619047619,23.666666666666668,24.238095238095237,23.476190476190474,27.714285714285715,26.714285714285715,25.19047619047619,22.761904761904763,25.19047619047619,24.285714285714285,24.333333333333332
25,26.61904761904762,26.666666666666668,24.80952380952381,23.333333333333332,24.761904761904763,25.38095238095238,25.38095238095238,23.904761904761905,22.476190476190474,27.61904761904762,30.952380952380953,24.666666666666668,22.761904761904763,26.428571428571427,25.761904761904763,24.952380952380953,24.666666666666668,23.19047619047619,24.952380952380953,28.476190476190474,23.666666666666668,27.142857142857142,23.095238095238095,27.761904761904763,26.142857142857142,26.61904761904762,23.285714285714285,26.571428571428573,23.38095238095238,23.047619047619047
26,24.714285714285715,24.238095238095237,26.333333333333332,24.19047619047619,22.857142857142858,24.80952380952381,27.19047619047619,27.238095238095237,24.61904761904762,29.952380952380953,30.714285714285715,24.19047619047619,23.047619047619047,26.666666666666668,21.61904761904762,24.523809523809526,24.285714285714285,22.333333333333332,22.238095238095237,25.19047619047619,24.476190476190474,24.428571428571427,24.238095238095237,26.666666666666668,24.476190476190474,24.38095238095238,25.047619047619047,23.952380952380953,23.714285714285715,24.952380952380953
27,24.476190476190474,26.714285714285715,26.571428571428573,22.523809523809526,21.61904761904762,25.333333333333332,28.761904761904763,25.047619047619047,22.857142857142858,28.142857142857142,30.904761904761905,25.61904761904762,22.666666666666668,26.714285714285715,22.714285714285715,24.38095238095238,27.047619047619047,22.333333333333332,24.0,25.61904761904762,22.0,23.19047619047619,20.61904761904762,25.61904761904762,28.142857142857142,25.285714285714285,23.0,24.38095238095238,22.047619047619047,23.761904761904763
28,26.904761904761905,22.714285714285715,27.761904761904763,24.285714285714285,22.666666666666668,26.285714285714285,25.857142857142858,23.047619047619047,24.333333333333332,28.761904761904763,28.761904761904763,26.047619047619047,23.61904761904762,25.0,22.38095238095238,23.904761904761905,26.19047619047619,24.19047619047619,24.904761904761905,24.80952380952381,24.428571428571427,25.904761904761905,22.666666666666668,25.38095238095238,24.761904761904763,26.0,23.61904761904762,26.666666666666668,24.238095238095237,22.952380952380953
29,24.61904761904762,24.428571428571427,26.476190476190474,24.571428571428573,22.333333333333332,27.428571428571427,29.0,26.761904761904763,26.238095238095237,27.142857142857142,29.19047619047619,24.285714285714285,24.095238095238095,24.857142857142858,23.904761904761905,27.80952380952381,24.285714285714285,21.476190476190474,21.38095238095238,24.761904761904763,24.19047619047619,24.19047619047619,24.476190476190474,27.61904761904762,27.80952380952381,24.142857142857142,24.428571428571427,23.285714285714285,23.857142857142858,23.38095238095238
30,26.333333333333332,26.238095238095237,26.857142857142858,23.761904761904763,21.571428571428573,26.238095238095237,28.0,24.904761904761905,23.61904761904762,30.142857142857142,29.142857142857142,25.0,23.666666666666668,26.761904761904763,21.857142857142858,23.952380952380953,24.333333333333332,23.0,24.095238095238095,23.476190476190474,24.80952380952381,24.904761904761905,22.0,27.857142857142858,26.666666666666668,24.952380952380953,23.714285714285715,26.761904761904763,25.142857142857142,22.857142857142858
31,26.761904761904763,24.523809523809526,26.904761904761905,23.666666666666668,22.761904761904763,28.333333333333332,27.476190476190474,23.80952380952381,24.142857142857142,27.523809523809526,32.42857142857143,25.476190476190474,23.476190476190474,26.761904761904763,23.285714285714285,25.38095238095238,25.761904761904763,23.761904761904763,22.095238095238095,23.80952380952381,25.142857142857142,25.285714285714285,22.238095238095237,29.0,24.047619047619047,23.80952380952381,24.523809523809526,26.80952380952381,25.61904761904762,23.761904761904763
32,25.904761904761905,23.857142857142858,24.333333333333332,24.61904761904762,20.857142857142858,25.761904761904763,27.761904761904763,24.142857142857142,25.476190476190474,27.952380952380953,31.19047619047619,24.38095238095238,21.38095238095238,28.333333333333332,22.80952380952381,23.80952380952381,24.19047619047619,23.761904761904763,26.571428571428573,24.666666666666668,23.333333333333332,27.285714285714285,23.095238095238095,25.476190476190474,26.0,23.714285714285715,23.714285714285715,23.857142857142858,24.571428571428573,23.904761904761905
